split,seed,train_size,descriptor,normalized_gain,descriptor_category,short_chemical_interpretation
random,11,10000,PEOE_VSA9,0.004278416286669527,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,SMR_VSA1,0.020084265229061548,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA10,0.003054387995461362,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA2,0.00032382865764055667,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA3,0.047809238847820144,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA4,0.0007940589028075526,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA5,0.0008557521373795193,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA6,0.013424256194565502,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA7,0.01849398622829797,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA8,0.0,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SMR_VSA9,0.0013039985651087408,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,SlogP_VSA1,0.011165941727329593,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA10,0.08843268877788209,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA11,0.0015342359133887653,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA12,0.0020638222305852405,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA2,0.002950656810537802,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA3,0.0008886888544789345,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA4,0.0008455094504918627,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA5,0.0005103094353209296,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA6,0.020102010212540437,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA7,0.0,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA8,0.017483851343656445,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,SlogP_VSA9,0.0,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,TPSA,0.002303136469692946,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,EState_VSA1,0.001255213641702758,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA10,0.0004694520603584702,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA11,0.0,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA2,0.0005104613178822428,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA3,0.0004694710899522239,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA4,0.0016396304973196262,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA5,0.0009808603500720081,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA6,0.0010234791699182146,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA7,0.004759704915337651,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA8,0.03850865015472343,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,EState_VSA9,0.002059835353599488,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState1,0.0052115940774163485,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState10,0.006418675919705847,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState2,0.0072240577849855495,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState3,0.000791231317688987,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState4,0.015512864036328745,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState5,0.0020781288788028897,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState6,0.026241875472218734,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState7,0.0008920834635332061,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState8,0.00084458418076918,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,VSA_EState9,0.0010781715103252312,polarity / charge-related,may encode charge or electrotopological-state information.
random,11,10000,FractionCSP3,0.0011114148260570026,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,HeavyAtomCount,0.0,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,NHOHCount,0.0009916016702741645,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NOCount,0.0014657021999413251,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumAliphaticCarbocycles,0.00029209547379888205,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumAliphaticHeterocycles,0.001870451033420406,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,NumAliphaticRings,0.0008438528776670932,aromaticity / ring system,captures ring-system or aromaticity-related structure.
random,11,10000,NumAmideBonds,0.03237648792004154,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumAromaticCarbocycles,0.0026203329436221452,aromaticity / ring system,captures ring-system or aromaticity-related structure.
random,11,10000,NumAromaticHeterocycles,0.0008315472025022831,aromaticity / ring system,captures ring-system or aromaticity-related structure.
random,11,10000,NumAromaticRings,0.011907206419259365,aromaticity / ring system,captures ring-system or aromaticity-related structure.
random,11,10000,NumAtomStereoCenters,0.0013692388386788536,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumBridgeheadAtoms,0.0006711051234789523,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumHAcceptors,0.002695181133502487,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,NumHDonors,0.0013528494320138905,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,NumHeteroatoms,0.01194512496164739,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,NumHeterocycles,0.0037697358618514493,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,NumRotatableBonds,0.0005053515338701532,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumSaturatedCarbocycles,0.0001100570275943553,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumSaturatedHeterocycles,0.0005692762539512749,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,NumSaturatedRings,0.0012958236319464197,aromaticity / ring system,captures ring-system or aromaticity-related structure.
random,11,10000,NumSpiroAtoms,0.0,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,NumUnspecifiedAtomStereoCenters,0.0,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,Phi,0.0005844805451717413,other RDKit descriptor,captures an RDKit-defined structural property.
random,11,10000,RingCount,0.0225576760565403,aromaticity / ring system,captures ring-system or aromaticity-related structure.
random,11,10000,MolLogP,0.006074236537683407,lipophilicity,may encode lipophilicity-weighted structural information.
random,11,10000,MolMR,0.024339908340440728,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,11,10000,fr_Al_COO,0.10054918028652023,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Al_OH,0.0005272704381759354,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Al_OH_noTert,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_ArN,0.0005372498340515382,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Ar_COO,0.0010135346455316732,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Ar_N,0.008609667226128432,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Ar_NH,0.0023589880375692006,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Ar_OH,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_COO,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_COO2,0.000831328700263345,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_C_O,0.007723076456808532,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_C_O_noCOO,0.021027422125893206,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_C_S,0.003233241963117263,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_HOCCN,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Imine,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_NH0,0.0036722512779231715,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_NH1,0.0010620679661532378,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_NH2,0.00012782806004337297,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_N_O,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Ndealkylation1,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Ndealkylation2,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_Nhpyrrole,0.0019926427918255303,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_SH,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_aldehyde,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_alkyl_carbamate,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_alkyl_halide,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_allylic_oxid,0.004727207649838151,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_amide,0.0004297998930004099,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_amidine,0.000352370794342868,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_aniline,0.12513091374207697,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_aryl_methyl,0.0012041149000105841,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_azide,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_azo,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_barbitur,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_benzene,0.0011925228829099983,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_benzodiazepine,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_bicyclic,0.0006842829400590108,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_diazo,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_dihydropyridine,0.007200799306756021,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_epoxide,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_ester,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_ether,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_furan,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_guanido,0.0018679547113484355,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_halogen,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_hdrzine,0.0011758909535713419,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_hdrzone,0.0045445240649865035,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_imidazole,0.0008689772864516555,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_imide,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_isocyan,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_isothiocyan,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_ketone,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_ketone_Topliss,0.0008295423655725394,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_lactam,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_lactone,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_methoxy,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_morpholine,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_nitrile,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_nitro,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_nitro_arom,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_nitro_arom_nonortho,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_nitroso,0.0003586456338385262,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_oxazole,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_oxime,0.0011643890935985229,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_para_hydroxylation,0.0007464453780830562,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_phenol,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_phenol_noOrthoHbond,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_phos_acid,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_phos_ester,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_piperdine,0.0004396644673340067,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_piperzine,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_priamide,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_prisulfonamd,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_pyridine,0.0024321696085448214,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_quatN,0.027028117752048893,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_sulfide,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_sulfonamd,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_sulfone,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_term_acetylene,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_tetrazole,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_thiazole,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_thiocyan,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_thiophene,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_unbrch_alkane,0.000539007737048123,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,11,10000,fr_urea,0.0,hydrogen bonding / heteroatom,may encode heteroatom or functional-group information.
random,22,10000,MaxAbsEStateIndex,0.0014180213038538544,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MaxEStateIndex,0.003932947903814943,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MinAbsEStateIndex,0.0006623709285422781,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MinEStateIndex,0.0020154425522801887,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,qed,0.0005322563773129765,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,SPS,0.0013168245891346418,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MolWt,0.00018256427831387715,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,22,10000,HeavyAtomMolWt,0.00018298241581836828,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,22,10000,ExactMolWt,4.843224398562469e-06,molecular size / constitutional,"captures molecular size, composition, or refractivity-related information."
random,22,10000,NumValenceElectrons,0.00019506255974246906,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,NumRadicalElectrons,0.0,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MaxPartialCharge,0.008702882919394925,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MinPartialCharge,0.0014997643512221657,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MaxAbsPartialCharge,0.004499127342111264,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,MinAbsPartialCharge,0.0010083124663220115,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,FpDensityMorgan1,0.0005181908429113095,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,FpDensityMorgan2,0.0005069020636015986,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,FpDensityMorgan3,0.0010793691800212234,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,BCUT2D_MWHI,0.0035425533219624506,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,BCUT2D_MWLOW,0.00035162242409520665,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,BCUT2D_CHGHI,0.0005381783644688979,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,BCUT2D_CHGLO,0.000641153553102006,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,BCUT2D_LOGPHI,0.0014444183633771453,lipophilicity,may encode lipophilicity-weighted structural information.
random,22,10000,BCUT2D_LOGPLOW,0.0008229487687685349,lipophilicity,may encode lipophilicity-weighted structural information.
random,22,10000,BCUT2D_MRHI,0.0008167205439839786,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,BCUT2D_MRLOW,0.009527435089546574,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,BalabanJ,0.0007272279461443173,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,BertzCT,0.020730376036527144,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi0,0.000826295373246963,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi0n,0.001819243748410514,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi0v,0.004088475609173351,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi1,0.005194835936344595,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi1n,0.0010965691925089941,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi1v,0.0005518152999186983,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi2n,0.008300571369909355,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi2v,0.0008433024270542457,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi3n,0.0015439122720681407,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi3v,0.0005384843792171627,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi4n,0.008555421700394271,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Chi4v,0.006099918350330191,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,HallKierAlpha,0.003508814583045249,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,Kappa1,0.0012434831287606583,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Kappa2,0.00040884233437265427,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,Kappa3,0.0005676823206324822,topology / connectivity,"captures graph connectivity, branching, or shape information."
random,22,10000,LabuteASA,0.00032125622735951356,other RDKit descriptor,captures an RDKit-defined structural property.
random,22,10000,PEOE_VSA1,0.0028746802571615877,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,PEOE_VSA10,0.0033147789446084097,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,PEOE_VSA11,0.0015465110571845039,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,PEOE_VSA12,0.0014489087341952726,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,PEOE_VSA13,0.0005587420317834159,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,PEOE_VSA14,0.00039135987673576583,polarity / charge-related,may encode charge or electrotopological-state information.
random,22,10000,PEOE_VSA2,0.0020003495393719666,polarity / charge-related,may encode charge or electrotopological-state information.
