mol_id,original_row_index,original_smiles,canonical_smiles,Eox,murcko_scaffold,molecular_target_key
56,3026,C#CCC(NC(C)=O)C(=O)O,C#CCC(NC(C)=O)C(=O)O,1.718,NO_SCAFFOLD::C#CCC(NC(C)=O)C(=O)O,C#CCC(NC(C)=O)C(=O)O||1.718
57,11295,C#CCC1(NC(=O)O)CCC(c2ccccc2)CC1,C#CCC1(NC(=O)O)CCC(c2ccccc2)CC1,1.208,c1ccc(C2CCCCC2)cc1,C#CCC1(NC(=O)O)CCC(c2ccccc2)CC1||1.208
58,308,C#CCCC(=O)O,C#CCCC(=O)O,2.109,NO_SCAFFOLD::C#CCCC(=O)O,C#CCCC(=O)O||2.109
59,650,C#CCCCC(=O)O,C#CCCCC(=O)O,2.122,NO_SCAFFOLD::C#CCCCC(=O)O,C#CCCCC(=O)O||2.122
60,13810,C#CCCCCC#CCCCCC#CCCCCC#CC(=O)O,C#CCCCCC#CCCCCC#CCCCCC#CC(=O)O,1.418,NO_SCAFFOLD::C#CCCCCC#CCCCCC#CCCCCC#CC(=O)O,C#CCCCCC#CCCCCC#CCCCCC#CC(=O)O||1.418
61,11359,C#CCCCCCC#CCCCCCC#CC(=O)O,C#CCCCCCC#CCCCCCC#CC(=O)O,1.464,NO_SCAFFOLD::C#CCCCCCC#CCCCCCC#CC(=O)O,C#CCCCCCC#CCCCCCC#CC(=O)O||1.464
62,2965,C#CCCCCCCC(=O)O,C#CCCCCCCC(=O)O,1.989,NO_SCAFFOLD::C#CCCCCCCC(=O)O,C#CCCCCCCC(=O)O||1.989
63,12445,C#CCCCCCCC=CCCCCCCCC(=O)O,C#CCCCCCCC=CCCCCCCCC(=O)O,1.151,NO_SCAFFOLD::C#CCCCCCCC=CCCCCCCCC(=O)O,C#CCCCCCCC=CCCCCCCCC(=O)O||1.151
64,5227,C#CCCCCCCCCC(=O)O,C#CCCCCCCCCC(=O)O,1.972,NO_SCAFFOLD::C#CCCCCCCCCC(=O)O,C#CCCCCCCCCC(=O)O||1.972
65,6442,C#CCCCCCCCCCC(=O)O,C#CCCCCCCCCCC(=O)O,1.937,NO_SCAFFOLD::C#CCCCCCCCCCC(=O)O,C#CCCCCCCCCCC(=O)O||1.937
66,7716,C#CCCCCCCCCCCC(=O)O,C#CCCCCCCCCCCC(=O)O,1.871,NO_SCAFFOLD::C#CCCCCCCCCCCC(=O)O,C#CCCCCCCCCCCC(=O)O||1.871
67,10977,C#CCCCCCCCCCCCCCC(=O)O,C#CCCCCCCCCCCCCCC(=O)O,1.891,NO_SCAFFOLD::C#CCCCCCCCCCCCCCC(=O)O,C#CCCCCCCCCCCCCCC(=O)O||1.891
68,12510,C#CCCCCCCCCCCCCCCCC(=O)O,C#CCCCCCCCCCCCCCCCC(=O)O,1.86,NO_SCAFFOLD::C#CCCCCCCCCCCCCCCCC(=O)O,C#CCCCCCCCCCCCCCCCC(=O)O||1.86
69,131,C#CCCCN,C#CCCCN,1.382,NO_SCAFFOLD::C#CCCCN,C#CCCCN||1.382
70,13,C#CCN,C#CCN,1.553,NO_SCAFFOLD::C#CCN,C#CCN||1.553
71,139,C#CCN(C)N,C#CCN(C)N,0.606,NO_SCAFFOLD::C#CCN(C)N,C#CCN(C)N||0.606
72,5545,C#CCN1CNc2ccccc2C1=O,C#CCN1CNc2ccccc2C1=O,0.736,O=C1NCNc2ccccc21,C#CCN1CNc2ccccc2C1=O||0.736
73,2744,C#CCN1NC12CCCCC2,C#CCN1NC12CCCCC2,1.523,C1CCC2(CC1)NN2,C#CCN1NC12CCCCC2||1.523
74,43,C#CCNC,C#CCNC,1.252,NO_SCAFFOLD::C#CCNC,C#CCNC||1.252
75,628,C#CCNC(C)(C)C,C#CCNC(C)(C)C,1.078,NO_SCAFFOLD::C#CCNC(C)(C)C,C#CCNC(C)(C)C||1.078
76,301,C#CCNC(C)C,C#CCNC(C)C,1.208,NO_SCAFFOLD::C#CCNC(C)C,C#CCNC(C)C||1.208
77,630,C#CCNC(C)CC,C#CCNC(C)CC,1.069,NO_SCAFFOLD::C#CCNC(C)CC,C#CCNC(C)CC||1.069
78,2912,C#CCNC(C)CCCCC,C#CCNC(C)CCCCC,0.994,NO_SCAFFOLD::C#CCNC(C)CCCCC,C#CCNC(C)CCCCC||0.994
79,4523,C#CCNC(C)Cc1ccccc1,C#CCNC(C)Cc1ccccc1,1.099,c1ccccc1,C#CCNC(C)Cc1ccccc1||1.099
80,7057,C#CCNC(Cc1ccccc1)C(=O)O,C#CCNC(Cc1ccccc1)C(=O)O,1.253,c1ccccc1,C#CCNC(Cc1ccccc1)C(=O)O||1.253
81,2596,C#CCNC1=CC(=O)CCC1,C#CCNC1=CC(=O)CCC1,0.834,O=C1C=CCCC1,C#CCNC1=CC(=O)CCC1||0.834
82,4312,C#CCNC1CC1c1ccccc1,C#CCNC1CC1c1ccccc1,1.164,c1ccc(C2CC2)cc1,C#CCNC1CC1c1ccccc1||1.164
83,1879,C#CCNC1CCCCC1,C#CCNC1CCCCC1,1.142,C1CCCCC1,C#CCNC1CCCCC1||1.142
84,4310,C#CCNC1CCc2ccccc21,C#CCNC1CCc2ccccc21,1.097,c1ccc2c(c1)CCC2,C#CCNC1CCc2ccccc21||1.097
85,129,C#CCNCC,C#CCNCC,1.223,NO_SCAFFOLD::C#CCNCC,C#CCNCC||1.223
86,272,C#CCNCC#C,C#CCNCC#C,1.327,NO_SCAFFOLD::C#CCNCC#C,C#CCNCC#C||1.327
87,682,C#CCNCC(=O)O,C#CCNCC(=O)O,1.34,NO_SCAFFOLD::C#CCNCC(=O)O,C#CCNCC(=O)O||1.34
88,1142,C#CCNCC(O)C=C,C#CCNCC(O)C=C,1.174,NO_SCAFFOLD::C#CCNCC(O)C=C,C#CCNCC(O)C=C||1.174
89,6591,C#CCNCc1cc2ccccc2n1C,C#CCNCc1cc2ccccc2n1C,0.559,c1ccc2[nH]ccc2c1,C#CCNCc1cc2ccccc2n1C||0.559
90,2403,C#CCNCc1ccccc1,C#CCNCc1ccccc1,1.16,c1ccccc1,C#CCNCc1ccccc1||1.16
91,1690,C#CCNCc1ccco1,C#CCNCc1ccco1,1.03,c1ccoc1,C#CCNCc1ccco1||1.03
92,3422,C#CCNc1c(C)cccc1C,C#CCNc1c(C)cccc1C,0.829,c1ccccc1,C#CCNc1c(C)cccc1C||0.829
93,7049,C#CCNc1ccc(C(C)C(=O)O)cc1,C#CCNc1ccc(C(C)C(=O)O)cc1,0.535,c1ccccc1,C#CCNc1ccc(C(C)C(=O)O)cc1||0.535
94,5796,C#CCNc1ccc(CC(=O)O)cc1,C#CCNc1ccc(CC(=O)O)cc1,0.556,c1ccccc1,C#CCNc1ccc(CC(=O)O)cc1||0.556
95,1570,C#CCNc1ccccc1,C#CCNc1ccccc1,0.669,c1ccccc1,C#CCNc1ccccc1||0.669
96,1616,C#CCNc1ccccn1,C#CCNc1ccccn1,0.855,c1ccncc1,C#CCNc1ccccn1||0.855
97,1576,C#Cc1cc(C)ccc1N,C#Cc1cc(C)ccc1N,0.625,c1ccccc1,C#Cc1cc(C)ccc1N||0.625
98,2458,C#Cc1ccc(C(=O)O)cc1,C#Cc1ccc(C(=O)O)cc1,1.507,c1ccccc1,C#Cc1ccc(C(=O)O)cc1||1.507
99,2475,C#Cc1ccc(C(=O)O)nc1,C#Cc1ccc(C(=O)O)nc1,1.633,c1ccncc1,C#Cc1ccc(C(=O)O)nc1||1.633
100,944,C#Cc1cccc(N)c1,C#Cc1cccc(N)c1,0.791,c1ccccc1,C#Cc1cccc(N)c1||0.791
101,8220,C#Cc1cccc(NC(=O)CCC(=O)O)c1,C#Cc1cccc(NC(=O)CCC(=O)O)c1,0.966,c1ccccc1,C#Cc1cccc(NC(=O)CCC(=O)O)c1||0.966
102,4538,C#Cc1ccccc1NCCCC,C#Cc1ccccc1NCCCC,0.587,c1ccccc1,C#Cc1ccccc1NCCCC||0.587
103,10711,C(#CCNC1CCCCC1)CNC1CCCCC1,C(#CCNC1CCCCC1)CNC1CCCCC1,0.992,C(#CCNC1CCCCC1)CNC1CCCCC1,C(#CCNC1CCCCC1)CNC1CCCCC1||0.992
104,12277,C(=C(C1CCCCC1)C1CCCCC1)C1CCCCN1,C(=C(C1CCCCC1)C1CCCCC1)C1CCCCN1,0.852,C(=C(C1CCCCC1)C1CCCCC1)C1CCCCN1,C(=C(C1CCCCC1)C1CCCCC1)C1CCCCN1||0.852
105,11490,C(=C1CNCC(=Cc2ccccc2)C1)c1ccccc1,C(=C1CNCC(=Cc2ccccc2)C1)c1ccccc1,0.858,C(=C1CNCC(=Cc2ccccc2)C1)c1ccccc1,C(=C1CNCC(=Cc2ccccc2)C1)c1ccccc1||0.858
106,10641,C(=CC=Nc1ccccc1)C=CNc1ccccc1,C(=CC=Nc1ccccc1)C=CNc1ccccc1,0.23,C(=CC=Nc1ccccc1)C=CNc1ccccc1,C(=CC=Nc1ccccc1)C=CNc1ccccc1||0.23
107,8713,C(=CNc1ccccc1)C=Nc1ccccc1,C(=CNc1ccccc1)C=Nc1ccccc1,0.424,C(=CNc1ccccc1)C=Nc1ccccc1,C(=CNc1ccccc1)C=Nc1ccccc1||0.424
108,13423,C(=Cc1ccccc1)C(=NNc1ccccc1)c1ccccc1,C(=Cc1ccccc1)C(=NNc1ccccc1)c1ccccc1,0.274,C(=Cc1ccccc1)C(=NNc1ccccc1)c1ccccc1,C(=Cc1ccccc1)C(=NNc1ccccc1)c1ccccc1||0.274
109,14158,C(=Cc1ccccc1)C1=Nc2ccccc2NC(c2ccccc2)C1,C(=Cc1ccccc1)C1=Nc2ccccc2NC(c2ccccc2)C1,0.4,C(=Cc1ccccc1)C1=Nc2ccccc2NC(c2ccccc2)C1,C(=Cc1ccccc1)C1=Nc2ccccc2NC(c2ccccc2)C1||0.4
110,8718,C(=Cc1ccccc1)C=NNc1ccccc1,C(=Cc1ccccc1)C=NNc1ccccc1,0.336,C(=Cc1ccccc1)C=NNc1ccccc1,C(=Cc1ccccc1)C=NNc1ccccc1||0.336
111,7004,C(=Cc1ccccc1)CN1CCNCC1,C(=Cc1ccccc1)CN1CCNCC1,0.892,C(=Cc1ccccc1)CN1CCNCC1,C(=Cc1ccccc1)CN1CCNCC1||0.892
112,13147,C(=Cc1ccccc1)CNCCNCC=Cc1ccccc1,C(=Cc1ccccc1)CNCCNCC=Cc1ccccc1,0.743,C(=Cc1ccccc1)CNCCNCC=Cc1ccccc1,C(=Cc1ccccc1)CNCCNCC=Cc1ccccc1||0.743
113,6362,C(=Cc1ccccc1)Nc1ccccc1,C(=Cc1ccccc1)Nc1ccccc1,0.204,C(=Cc1ccccc1)Nc1ccccc1,C(=Cc1ccccc1)Nc1ccccc1||0.204
114,7584,C(=NC1CCCCC1)NC1CCCCC1,C(=NC1CCCCC1)NC1CCCCC1,0.776,C(=NC1CCCCC1)NC1CCCCC1,C(=NC1CCCCC1)NC1CCCCC1||0.776
115,10958,C(=NCCc1ccccc1)NCCc1ccccc1,C(=NCCc1ccccc1)NCCc1ccccc1,0.773,C(=NCCc1ccccc1)NCCc1ccccc1,C(=NCCc1ccccc1)NCCc1ccccc1||0.773
116,8863,C(=NCc1ccccc1)NCc1ccccc1,C(=NCc1ccccc1)NCc1ccccc1,0.825,C(=NCc1ccccc1)NCc1ccccc1,C(=NCc1ccccc1)NCc1ccccc1||0.825
117,13325,C(=NNc1ccc2ccccc2c1)c1cccc2ccccc12,C(=NNc1ccc2ccccc2c1)c1cccc2ccccc12,0.184,C(=NNc1ccc2ccccc2c1)c1cccc2ccccc12,C(=NNc1ccc2ccccc2c1)c1cccc2ccccc12||0.184
118,13313,C(=NNc1ccccc1)c1c2ccccc2cc2ccccc12,C(=NNc1ccccc1)c1c2ccccc2cc2ccccc12,0.16,C(=NNc1ccccc1)c1c2ccccc2cc2ccccc12,C(=NNc1ccccc1)c1c2ccccc2cc2ccccc12||0.16
119,9727,C(=NNc1ccccc1)c1c[nH]c2ccccc12,C(=NNc1ccccc1)c1c[nH]c2ccccc12,0.145,C(=NNc1ccccc1)c1c[nH]c2ccccc12,C(=NNc1ccccc1)c1c[nH]c2ccccc12||0.145
120,10560,C(=NNc1ccccc1)c1cccc2ccccc12,C(=NNc1ccccc1)c1cccc2ccccc12,0.292,C(=NNc1ccccc1)c1cccc2ccccc12,C(=NNc1ccccc1)c1cccc2ccccc12||0.292
121,6416,C(=NNc1ccccc1)c1ccccc1,C(=NNc1ccccc1)c1ccccc1,0.422,C(=NNc1ccccc1)c1ccccc1,C(=NNc1ccccc1)c1ccccc1||0.422
122,13955,C(=Nc1ccc(N=CNc2ccccc2)cc1)Nc1ccccc1,C(=Nc1ccc(N=CNc2ccccc2)cc1)Nc1ccccc1,0.523,C(=Nc1ccc(N=CNc2ccccc2)cc1)Nc1ccccc1,C(=Nc1ccc(N=CNc2ccccc2)cc1)Nc1ccccc1||0.523
123,12144,C(=Nc1ccc(Nc2ccccc2)cc1)c1ccccc1,C(=Nc1ccc(Nc2ccccc2)cc1)c1ccccc1,0.161,C(=Nc1ccc(Nc2ccccc2)cc1)c1ccccc1,C(=Nc1ccc(Nc2ccccc2)cc1)c1ccccc1||0.161
124,13317,C(=Nc1ccc2ccccc2c1)Nc1ccc2ccccc2c1,C(=Nc1ccc2ccccc2c1)Nc1ccc2ccccc2c1,0.478,C(=Nc1ccc2ccccc2c1)Nc1ccc2ccccc2c1,C(=Nc1ccc2ccccc2c1)Nc1ccc2ccccc2c1||0.478
125,13307,C(=Nc1cccc2ccccc12)Nc1cccc2ccccc12,C(=Nc1cccc2ccccc12)Nc1cccc2ccccc12,0.445,C(=Nc1cccc2ccccc12)Nc1cccc2ccccc12,C(=Nc1cccc2ccccc12)Nc1cccc2ccccc12||0.445
126,11511,C(=Nc1ccccc1)C1=C(Nc2ccccc2)CCC1,C(=Nc1ccccc1)C1=C(Nc2ccccc2)CCC1,0.254,C(=Nc1ccccc1)C1=C(Nc2ccccc2)CCC1,C(=Nc1ccccc1)C1=C(Nc2ccccc2)CCC1||0.254
127,6415,C(=Nc1ccccc1)Nc1ccccc1,C(=Nc1ccccc1)Nc1ccccc1,0.774,C(=Nc1ccccc1)Nc1ccccc1,C(=Nc1ccccc1)Nc1ccccc1||0.774
128,7723,C(CC1CCNCC1)CC1CCNCC1,C(CC1CCNCC1)CC1CCNCC1,0.953,C(CC1CCNCC1)CC1CCNCC1,C(CC1CCNCC1)CC1CCNCC1||0.953
129,3012,C(CCC1CN1)CCC1CN1,C(CCC1CN1)CCC1CN1,1.373,C(CCC1CN1)CCC1CN1,C(CCC1CN1)CCC1CN1||1.373
130,12575,C(CCCNC1CCCCC1)CCNC1CCCCC1,C(CCCNC1CCCCC1)CCNC1CCCCC1,0.687,C(CCCNC1CCCCC1)CCNC1CCCCC1,C(CCCNC1CCCCC1)CCNC1CCCCC1||0.687
131,5161,C(CN1CC1)NC1CC2CCC1C2,C(CN1CC1)NC1CC2CCC1C2,0.965,C(CN1CC1)NC1CC2CCC1C2,C(CN1CC1)NC1CC2CCC1C2||0.965
132,9709,C(CNC12CC3CC(CC(C3)C1)C2)CN1CC1,C(CNC12CC3CC(CC(C3)C1)C2)CN1CC1,0.762,C(CNC12CC3CC(CC(C3)C1)C2)CN1CC1,C(CNC12CC3CC(CC(C3)C1)C2)CN1CC1||0.762
133,14262,C(CNC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,C(CNC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,0.613,C(CNC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,C(CNC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2||0.613
134,2013,C(CNC1CC1)NC1CC1,C(CNC1CC1)NC1CC1,1.061,C(CNC1CC1)NC1CC1,C(CNC1CC1)NC1CC1||1.061
135,14861,C(NC=C(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1,C(NC=C(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1,-0.121,C(NC=C(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1,C(NC=C(c1ccccc1)c1ccccc1)=C(c1ccccc1)c1ccccc1||-0.121
136,14829,C(NC=C1c2ccccc2-c2ccccc21)=C1c2ccccc2-c2ccccc21,C(NC=C1c2ccccc2-c2ccccc21)=C1c2ccccc2-c2ccccc21,0.081,C(NC=C1c2ccccc2-c2ccccc21)=C1c2ccccc2-c2ccccc21,C(NC=C1c2ccccc2-c2ccccc21)=C1c2ccccc2-c2ccccc21||0.081
137,6740,C1=C(C2NCCc3ccccc32)CCC1,C1=C(C2NCCc3ccccc32)CCC1,0.95,C1=C(C2NCCc3ccccc32)CCC1,C1=C(C2NCCc3ccccc32)CCC1||0.95
